"id","nombre","tipo","ident","aeropuerto_id","fir_id","puesto_id","created_at","updated_at","anio_instalacion","asociado_a","ayuda","estacion","fir","frecuencia","latitud","longitud","modelo","monitor_torre","oaci","siglas_local"
402,SGO. DEL ESTERO,VOR / DVOR,,,,,2026-01-09 14:52:53.207,2026-01-09 14:52:53.207,"1991",,VOR,VOR,CBA,"114.8 Mhz",-27.76555556,-64.31,SEL 4000,true,SANE,SDE
403,TANDIL,VOR / DVOR,,,,,2026-01-09 14:52:53.511,2026-01-09 14:52:53.511,"2001",DME,VOR,VOR/DME,EZE,"115.9 Mhz",-37.23437778,-59.22858611,AIRSYS SN 431,true,SAZT,DIL
404,TANDIL,DME,,,,,2026-01-09 14:52:53.821,2026-01-09 14:52:53.821,"2001",VOR,DME,VOR/DME,EZE,"106 X",-37.23437778,-59.22858611,AIRSYS SN 435,true,SAZT,DIL
405,TANDIL,ILS,,,,,2026-01-09 14:52:54.039,2026-01-09 14:52:54.039,"1980",ILS,GP,ILS ( GP - DME ),EZE,"109.9 Mhz",-37.23437778,-59.22858611,PHILIPS 7404,true,SAZT,DIL
406,TERMAS DE RIO HONDO,VOR / DVOR,,,,,2026-01-09 14:52:54.330,2026-01-09 14:52:54.330,"2012",DME,VOR,VOR/DME,CBA,"113.7 Mhz",-27.49662,-64.93596,THALES 431,true,SANR,TRH
407,TERMAS DE RIO HONDO,DME,,,,,2026-01-09 14:52:54.642,2026-01-09 14:52:54.642,"2012",VOR,DME,VOR/DME,CBA,"84 X",-27.49662,-64.93596,THALES 435,true,SANR,TRH
408,TERMAS DE RIO HONDO,DME,,,,,2026-01-09 14:52:54.949,2026-01-09 14:52:54.949,"2017",ILS,DME,ILS ( GP - DME ),CBA,"24 X",-27.49662,-64.93596,THALES 415,true,SANR,TRH
409,TERMAS DE RIO HONDO,ILS,,,,,2026-01-09 14:52:55.265,2026-01-09 14:52:55.265,"2017",ILS,GP,ILS ( GP - DME ),CBA,"108.7 Mhz",-27.49662,-64.93596,THALES 420,true,SANR,TRH
410,TRELEW,VOR / DVOR,,,,,2026-01-09 14:52:55.561,2026-01-09 14:52:55.561,"1992",DME,VOR,VOR/DME,CRV,"115.1 Mhz",-43.21055556,-65.27027778,SEL 4000,true,SAVT,TRE
411,TRELEW,ILS,,,,,2026-01-09 14:52:55.808,2026-01-09 14:52:55.808,"2015",ILS,GP,ILS ( GP - DME ),CRV,"109.5 Mhz",-43.21055556,-65.27027778,NORMARC 7000,true,SAVT,TRE
412,TRELEW,DME,,,,,2026-01-09 14:52:56.187,2026-01-09 14:52:56.187,"2022",VOR,DME,VOR/DME,CRV,"98 X",-43.21055556,-65.27027778,THALES  ATM 435,true,SAVT,TRE
413,TRELEW,DME,,,,,2026-01-09 14:52:56.512,2026-01-09 14:52:56.512,"2015",ILS,DME,ILS ( GP - DME ),CRV,"32 X",-43.21055556,-65.27027778,INDRA LDB - 103,true,SAVT,TRE
414,TUCUMAN,VOR / DVOR,,,,,2026-01-09 14:52:56.791,2026-01-09 14:52:56.791,"2019",DME,VOR,VOR/DME,CBA,"114.1 Mhz",-26.84083333,-65.10472222,SELEX 1150A,true,SANT,TUC
415,TUCUMAN,ILS,,,,,2026-01-09 14:52:57.092,2026-01-09 14:52:57.092,"2019",ILS,GP,ILS ( GP - DME ),CBA,"109.9 Mhz",-26.84083333,-65.10472222,NORMARC 7000,true,SANT,TUC
416,TUCUMAN,DME,,,,,2026-01-09 14:52:57.416,2026-01-09 14:52:57.416,"2019",ILS,DME,ILS ( GP - DME ),CBA,"36 X",-26.84083333,-65.10472222,INDRA LDB - 103,true,SANT,TUC
417,TUCUMAN,DME,,,,,2026-01-09 14:52:57.712,2026-01-09 14:52:57.712,"2019",VOR,DME,VOR/DME,CBA,"88 X",-26.84083333,-65.10472222,SELEX 1119A,true,SANT,TUC
418,USHUAIA,ILS,,,,,2026-01-09 14:52:58.024,2026-01-09 14:52:58.024,"2022",ILS,GP,ILS ( GP - DME ),CRV,"111.3 Mhz",-54.84333333,-68.29555556,NORMARC 7000,true,SAWH,USU
419,USHUAIA,VOR / DVOR,,,,,2026-01-09 14:52:58.324,2026-01-09 14:52:58.324,"1995",,DVOR,DVOR,CRV,"113.7 Mhz",-54.84333333,-68.29555556,SEL 4000,true,SAWH,USU
420,USHUAIA,DME,,,,,2026-01-09 14:52:58.590,2026-01-09 14:52:58.590,"2022",ILS,DME,ILS ( GP - DME ),CRV,"50 X",-54.84333333,-68.29555556,INDRA LDB - 103,true,SAWH,USU
421,VIEDMA,VOR / DVOR,,,,,2026-01-09 14:52:58.948,2026-01-09 14:52:58.948,"1993",,VOR,VOR,CRV,"117.1 Mhz",-40.87027778,-62.99666667,SEL 4000,true,SAVV,VIE
422,SAUCE VIEJO,LI / LO / NDB,,,,,2026-01-09 14:52:59.351,2026-01-09 14:52:59.351,"1999",SVO,NDB,NDB,EZE,"405 Khz",-31.71083333,-60.81138889,NAUTEL ND 2000A,true,SAAV,SVO
423,VILLA REYNOLDS,VOR / DVOR,,,,,2026-01-09 14:52:59.759,2026-01-09 14:52:59.759,"1997",DME,VOR,VOR/DME,DOZ,"115.7 Mhz",-33.73178,-65.37579,ALCATEL SN 431,true,SAOR,RYD
424,VILLA REYNOLDS,ILS,,,,,2026-01-09 14:53:00.171,2026-01-09 14:53:00.171,"1984",ILS,GP,ILS ( GP - DME ),DOZ,"109.5 Mhz",-33.73178,-65.37579,PHILIPS 7404,true,SAOR,RYD
425,VILLA REYNOLDS,DME,,,,,2026-01-09 14:53:00.424,2026-01-09 14:53:00.424,"1997",ILS,DME,ILS ( GP - DME ),DOZ,"32 X",-33.73178,-65.37579,WILCOX 596-B,true,SAOR,RYD
426,VILLA REYNOLDS,DME,,,,,2026-01-09 14:53:00.662,2026-01-09 14:53:00.662,"1997",VOR,DME,VOR/DME,DOZ,"104 X",-33.73178,-65.37579,ALCATEL FSD-45,true,SAOR,RYD
427,VILLA REYNOLDS,ILS,,,,,2026-01-09 14:53:00.994,2026-01-09 14:53:00.994,"1984",ILS,LOC,ILS ( LOC ),DOZ,"109.5 Mhz",-33.73178,-65.37579,PHILIPS 7404,true,SAOR,RYD
428,USHUAIA,ILS,,,,,2026-01-09 14:53:01.296,2026-01-09 14:53:01.296,"2022",ILS,LOC,ILS ( LOC ),CRV,"111.3 Mhz",-54.84333333,-68.29555556,NORMARC 7000,true,SAWH,USU
429,AEROPARQUE,ILS,,,,,2026-01-09 14:53:01.610,2026-01-09 14:53:01.610,"2021",ILS,LOC,ILS ( LOC ),EZE,"109.5 Mhz",-34.55888889,-58.41638889,NORMARC 7000,true,SABE,AER
430,BAHIA BLANCA,ILS,,,,,2026-01-09 14:53:01.913,2026-01-09 14:53:01.913,"2016",ILS,LOC,ILS ( LOC ),EZE,"109.7 Mhz",-38.7275,-62.15333333,NORMARC 7000,true,SAZB,BCA
431,BARILOCHE,ILS,,,,,2026-01-09 14:53:02.217,2026-01-09 14:53:02.217,"2022",ILS,LOC,ILS ( LOC ),EZE,"109.5 Mhz",-41.15111111,-71.15777778,NORMARC 7000,true,SAZS,BAR
432,COM. RIVADAVIA,ILS,,,,,2026-01-09 14:53:02.532,2026-01-09 14:53:02.532,"2004",ILS,LOC,ILS ( LOC ),CRV,"110.3 Mhz",-45.78527778,-67.46555556,NORMARC 7000,true,SAVC,CRV
433,CORDOBA,ILS,,,,,2026-01-09 14:53:02.755,2026-01-09 14:53:02.755,"2021",ILS,LOC,ILS ( LOC ),CBA,"110.3 Mhz",-31.31,-64.20833333,NORMARC 7000,true,SACO,CBA
434,CORRIENTES,ILS,,,,,2026-01-09 14:53:03.039,2026-01-09 14:53:03.039,"2021",ILS,LOC,ILS ( LOC ),SIS,"109.7 Mhz",-27.44555556,-58.76194444,NORMARC 7000,true,SARC,CRR
435,EL CALAFATE,ILS,,,,,2026-01-09 14:53:03.312,2026-01-09 14:53:03.312,"2013",ILS,LOC,ILS ( LOC ),CRV,"108.9 Mhz",-50.28,-72.05305556,SELEX 2100,true,SAWC,ECA
436,ESC. DE AVIACION,ILS,,,,,2026-01-09 14:53:03.548,2026-01-09 14:53:03.548,"2009",ILS,LOC,ILS ( LOC ),,"108.7 Mhz",,,NORMARC 3500,true,,EAM
437,ESQUEL,ILS,,,,,2026-01-09 14:53:03.852,2026-01-09 14:53:03.852,"2022",ILS,LOC,ILS ( LOC ),CRV,"109.7 Mhz",-42.90381,-71.13554,NORMARC 7000,true,SAVE,ESQ
438,EZEIZA,ILS,,,,,2026-01-09 14:53:04.164,2026-01-09 14:53:04.164,"1997",ILS,LOC,ILS ( LOC ) 11,EZE,"110.1 Mhz",-34.82222222,-58.53583333,NORMARC 7000,true,SAEZ,EZE
439,EZEIZA,ILS,,,,,2026-01-09 14:53:04.568,2026-01-09 14:53:04.568,"2006",ILS,LOC,ILS ( LOC ) 17,EZE,"108.7 Mhz",-34.82222222,-58.53583333,NORMARC 7000,true,SAEZ,EZE
440,FORMOSA,ILS,,,,,2026-01-09 14:53:04.809,2026-01-09 14:53:04.809,"1997",ILS,LOC,ILS ( LOC ),SIS,"110.9 Mhz",-26.21277778,-58.22805556,NORMARC 3500,true,SARF,FSA
441,IGUAZU,ILS,,,,,2026-01-09 14:53:05.083,2026-01-09 14:53:05.083,"2001",ILS,LOC,ILS ( LOC ),SIS,"110.9 Mhz",-25.73722,-54.47354,NORMARC 7000,true,SARI,IGU
442,JUJUY,ILS,,,,,2026-01-09 14:53:05.301,2026-01-09 14:53:05.301,"2015",ILS,LOC,ILS ( LOC ),CBA,"110.1 Mhz",-24.3925,-65.09777778,NORMARC 7000,true,SASJ,JUJ
443,LA RIOJA,ILS,,,,,2026-01-09 14:53:05.527,2026-01-09 14:53:05.527,"1995",ILS,LOC,ILS ( LOC ),CBA,"110.1 Mhz",-29.38055556,-66.79583333,NORMARC 3500,true,SANL,LAR
444,MAR DEL PLATA,ILS,,,,,2026-01-09 14:53:05.908,2026-01-09 14:53:05.908,"2019",ILS,LOC,ILS ( LOC ),EZE,"109.5 Mhz",-37.93416667,-57.57333333,NORMARC 7000,true,SAZM,MDP
445,MENDOZA,ILS,,,,,2026-01-09 14:53:06.121,2026-01-09 14:53:06.121,"2002",ILS,LOC,ILS ( LOC ),DOZ,"109.9 Mhz",-32.83166667,-68.79277778,NORMARC 7000,true,SAME,DOZ
446,NEUQUEN,ILS,,,,,2026-01-09 14:53:06.334,2026-01-09 14:53:06.334,"2018",ILS,LOC,ILS ( LOC ),EZE,"110.3 Mhz",-38.94888889,-68.15583333,NORMARC 7000,true,SAZN,NEU
447,PALOMAR,ILS,,,,,2026-01-09 14:53:06.621,2026-01-09 14:53:06.621,"2019",ILS,LOC,ILS ( LOC ),EZE,"110.5 Mhz",-34.61,-58.6125,NORMARC 7000,true,SADP,PAL
448,PARANA,ILS,,,,,2026-01-09 14:53:06.919,2026-01-09 14:53:06.919,"2001",ILS,LOC,ILS ( LOC ),EZE,"110.3 Mhz",-31.79472222,-60.48027778,NORMARC 7000,true,SAAP,PAR
449,POSADAS,ILS,,,,,2026-01-09 14:53:07.231,2026-01-09 14:53:07.231,"2021",ILS,LOC,ILS ( LOC ),SIS,"109.9 Mhz",-27.38573,-55.97049,NORMARC 7000,true,SARP,POS
450,RESISTENCIA,ILS,,,,,2026-01-09 14:53:07.448,2026-01-09 14:53:07.448,"2021",ILS,LOC,ILS ( LOC ),SIS,"110.3 Mhz",-27.45,-59.05611111,NORMARC 7000,true,SARE,SIS
451,RIO CUARTO,ILS,,,,,2026-01-09 14:53:07.754,2026-01-09 14:53:07.754,"2004",ILS,LOC,ILS ( LOC ),CBA,"110.9 Mhz",-33.09216,-64.26934,NORMARC 7000,true,SAOC,TRC
452,RIO GALLEGOS,ILS,,,,,2026-01-09 14:53:08.055,2026-01-09 14:53:08.055,"2001",ILS,LOC,ILS ( LOC ),CRV,"110.3 Mhz",-51.60881,-69.31217,NORMARC 7000,true,SAWG,GAL
453,RIO GRANDE,ILS,,,,,2026-01-09 14:53:08.362,2026-01-09 14:53:08.362,"2017",ILS,LOC,ILS ( LOC ),CRV,"109.5 Mhz",-53.7776,-67.74952,NORMARC 7000,true,SAWE,GRA
454,ROSARIO,ILS,,,,,2026-01-09 14:53:08.673,2026-01-09 14:53:08.673,"2002",ILS,LOC,ILS ( LOC ),EZE,"109.9 Mhz",-32.90361111,-60.78444444,NORMARC 7000,true,SAAR,ROS
455,SALTA,ILS,,,,,2026-01-09 14:53:09.006,2026-01-09 14:53:09.006,"2013",ILS,LOC,ILS ( LOC ),CBA,"110.3 Mhz",-24.85972222,-65.48694444,NORMARC 7000,true,SASA,SAL
456,SAN FERNANDO,ILS,,,,,2026-01-09 14:53:09.297,2026-01-09 14:53:09.297,"2015",ILS,LOC,ILS ( LOC ),EZE,"109.1 Mhz",-34.45454,-58.59091,SELEX 2100,true,SADF,FDO
457,SAN JUAN,ILS,,,,,2026-01-09 14:53:09.587,2026-01-09 14:53:09.587,"2015",ILS,LOC,ILS ( LOC ),DOZ,"110.3 Mhz",-31.57138889,-68.41833333,NORMARC 7000,true,SANU,JUA
458,SANTA ROSA,ILS,,,,,2026-01-09 14:53:10.112,2026-01-09 14:53:10.112,"2021",ILS,LOC,ILS ( LOC ),EZE,"110.3 Mhz",-36.58833333,-64.27583333,NORMARC 7000,true,SAZR,OSA
459,SAUCE VIEJO,ILS,,,,,2026-01-09 14:53:10.326,2026-01-09 14:53:10.326,"1992",ILS,LOC,ILS ( LOC ),EZE,"109.5 Mhz",-31.71083333,-60.81138889,NORMARC 3500,true,SAAV,SVO
460,TANDIL,ILS,,,,,2026-01-09 14:53:10.618,2026-01-09 14:53:10.618,"1980",ILS,LOC,ILS ( LOC ),EZE,"109.9 Mhz",-37.23437778,-59.22858611,PHILIPS 7404,true,SAZT,DIL
461,TERMAS DE RIO HONDO,ILS,,,,,2026-01-09 14:53:10.851,2026-01-09 14:53:10.851,"2017",ILS,LOC,ILS ( LOC ),CBA,"108.7 Mhz",-27.49662,-64.93596,THALES 420,true,SANR,TRH
462,TRELEW,ILS,,,,,2026-01-09 14:53:11.086,2026-01-09 14:53:11.086,"2015",ILS,LOC,ILS ( LOC ),CRV,"109.5 Mhz",-43.21055556,-65.27027778,NORMARC 7000,true,SAVT,TRE
463,TUCUMAN,ILS,,,,,2026-01-09 14:53:11.330,2026-01-09 14:53:11.330,"2019",ILS,LOC,ILS ( LOC ),CBA,"109.9 Mhz",-26.84083333,-65.10472222,NORMARC 7000,true,SANT,TUC
464,PRESIDENTE ROQUE SAENZ PEÑA,LI / LO / NDB,,,,,2026-01-09 14:53:11.541,2026-01-09 14:53:11.541,"1990",PSP,NDB,NDB,SIS,"205 Khz",-26.78309,-60.48741,TECTRON SENA TSB 50,false,,PSV
465,JUNIN,LI / LO / NDB,,,,,2026-01-09 14:53:11.842,2026-01-09 14:53:11.842,,,NDB,NDB,EZE,,-34.54589,-60.93051,STANDART ELECTRIC TG16,false,SAAJ,NIN
466,RIO GRANDE,LI / LO / NDB,,,,,2026-01-09 14:53:12.064,2026-01-09 14:53:12.064,"1983",,LI,LI,CRV,"265 KHZ",-53.7776,-67.74952,WILCOX 785-E,true,SAWE,GRA
467,CHAPELCO,LI / LO / NDB,,,,,2026-01-09 14:53:12.357,2026-01-09 14:53:12.357,,CHP,NDB,NDB,EZE,"370 Khz",-40.07527778,-71.13722222,MAURO RB100,true,SAZY,CHP
468,AEROPARQUE,LI / LO / NDB,,,,,2026-01-09 14:53:12.623,2026-01-09 14:53:12.623,"2005",OP,LO,LO,EZE,,-34.55888889,-58.41638889,SAC 100,false,SABE,AER
469,BARILOCHE,LI / LO / NDB,,,,,2026-01-09 14:53:12.863,2026-01-09 14:53:12.863,"1983",,LI,LI,EZE,"305 Khz",-41.15111111,-71.15777778,WILCOX 785-E,false,SAZS,BAR
470,BARILOCHE,LI / LO / NDB,,,,,2026-01-09 14:53:13.180,2026-01-09 14:53:13.180,,,LI,LI,EZE,"305 Khz",-41.15111111,-71.15777778,NAUTEL ND500,false,SAZS,BAR
471,MENDOZA,VOR / DVOR,,,,,2026-01-09 14:53:13.499,2026-01-09 14:53:13.499,"1992",DME,VOR,VOR/DME,DOZ,"114.9 Mhz",-32.83166667,-68.79277778,SEL 4000,false,SAME,DOZ
472,MENDOZA,DME,,,,,2026-01-09 14:53:13.790,2026-01-09 14:53:13.790,"2006",VOR,DME,VOR/DME,DOZ,"96 X",-32.83166667,-68.79277778,THALES 435,false,SAME,DOZ
473,EZEIZA,VOR / DVOR,,,,,2026-01-09 14:53:14.098,2026-01-09 14:53:14.098,"1990",DME,VOR,VOR/DME,EZE,"116.5 Mhz",-34.82222222,-58.53583333,SEL 4000,false,SAEZ,EZE
474,FORMOSA,DME,,,,,2026-01-09 14:53:14.380,2026-01-09 14:53:14.380,"1985",VOR,DME,VOR/DME,SIS,"103 X",-26.21277778,-58.22805556,WILCOX 596-B,false,SARF,FSA
475,FIR EZE,,,,,,2026-01-09 14:53:14.602,2026-01-09 14:53:14.602,,Anexo VIII,Anexo VIII,Anexo VIII,EZE,,-34.82222222,-58.53583333,,false,,FIR EZE
476,FIR CBA,,,,,,2026-01-09 14:53:14.877,2026-01-09 14:53:14.877,,Anexo VIII,Anexo VIII,Anexo VIII,CBA,,-31.31,-64.20833333,,false,,FIR CBA
477,FIR CRV,,,,,,2026-01-09 14:53:15.118,2026-01-09 14:53:15.118,,Anexo VIII,Anexo VIII,Anexo VIII,CRV,,-45.78527778,-67.46555556,,false,,FIR CRV
478,FIR SIS,,,,,,2026-01-09 14:53:15.336,2026-01-09 14:53:15.336,,Anexo VIII,Anexo VIII,Anexo VIII,SIS,,-27.45,-59.05611111,,false,,FIR SIS
479,FIR DOZ,,,,,,2026-01-09 14:53:15.590,2026-01-09 14:53:15.590,,Anexo VIII,Anexo VIII,Anexo VIII,DOZ,,-32.83166667,-68.79277778,,false,,FIR DOZ
480,MORON,,,,,,2026-01-09 14:53:15.840,2026-01-09 14:53:15.840,,,,,EZE,,-34.67916667,-58.64361111,,false,SADM,MOR
481,CONCORDIA,,,,,,2026-01-09 14:53:16.056,2026-01-09 14:53:16.056,,,,,EZE,,-31.29694444,-57.99666667,,false,"SAAC
",DIA
482,PUNTA DE INDIO,VOR / DVOR,,,,,2026-01-09 14:53:16.357,2026-01-09 14:53:16.357,"2024",DME,VOR,VOR/DME,EZE,"114.1 MHz",-35.3455027777778,-57.2751638888889,WILCOX 585-B,false,SAAI,PDI
483,PUNTA DE INDIO,DME,,,,,2026-01-09 14:53:16.650,2026-01-09 14:53:16.650,"2024",VOR,DME,VOR/DME,EZE,"88x",-35.3455027777778,-57.2751638888889,WILCOX 596-B,false,SAAI,PDI
484,AEROPARQUE,LI / LO / NDB,,,,,2026-01-09 14:53:16.962,2026-01-09 14:53:16.962,"2024",N,LI,LI,EZE,"375 Khz",-34.55888889,-58.41638889,SAC 100,false,SABE,AER
485,COM. RIVADAVIA,ILS,,,,,2026-01-09 14:53:17.267,2026-01-09 14:53:17.267,"2004",ILS,MM,ILS (MM),CRV,"75 Mhz",-45.78527778,-67.46555556,PHILIPS 7400,true,SAVC,CRV
486,COM. RIVADAVIA,ILS,,,,,2026-01-09 14:53:17.579,2026-01-09 14:53:17.579,"2004",ILS,OM,ILS (OM),CRV,"75 Mhz",-45.78527778,-67.46555556,PHILIPS 7400,true,SAVC,CRV
487,IGUAZU,ILS,,,,,2026-01-09 14:53:17.878,2026-01-09 14:53:17.878,"2001",ILS,MM,ILS ( MM ),SIS,"75 Mhz",-25.73722,-54.47354,NORMARC 7050D,true,SARI,IGU
488,LABORATORIO,,,,,,2026-01-09 14:53:18.295,2026-01-09 14:53:18.295,,,,,,,,,,false,,LAB
489,ING. ENERGÍA,,,,,,2026-01-09 14:53:18.601,2026-01-09 14:53:18.601,,,,,,,,,,false,,IEL
490,Sin Nombre,,,,,,2026-01-09 14:53:18.908,2026-01-09 14:53:18.908,,,,,,,,,,false,,
