"id","modelo","aeropuerto_id","created_at","estado","definicion","entes_certificadores","fir","fir_id","id_ap_sig","referencia","siglas_local","sistema","ubicacion","numero_serie","marca","nombre","tipo"
328,RSMA,43,2026-01-12 18:41:04.603,OK,RSMA INVAP,INVAP,EZE,4,"1",BAHIA BLANCA,BCA,Radar,RADAR / Bahía Blanca / ID-109,,INVAP,RADAR / Bahía Blanca / ID-109,RSMA INVAP
329,Sistema AIRCON 2100,49,2026-01-12 18:41:04.889,OK,Sistema Automatizado,Indra,EZE,4,"2",EZEIZA,EZE,Sistema automatizado,RADAR / Ezeiza / ID-115,,Indra,RADAR / Ezeiza / ID-115,Sistema Automatizado
330,Sistema AIRCON 2100,22,2026-01-12 18:41:05.106,OK,Sistema Automatizado,Indra,CRV,2,"3",COMODORO,CRV,Sistema automatizado,RADAR / Comodoro Rivadavia / ID-111,,Indra,RADAR / Comodoro Rivadavia / ID-111,Sistema Automatizado
331,RSMA,44,2026-01-12 18:41:05.351,OK,RSMA INVAP,,EZE,4,"9",BARILOCHE,BAR,Radar,RADAR / San Carlos de Bariloche / ID-110,,S/D,RADAR / San Carlos de Bariloche / ID-110,RSMA INVAP
332,RSMA,22,2026-01-12 18:41:05.630,OK,RSMA INVAP,,CRV,2,"10",COMODORO,CRV,Radar,RADAR / Comodoro Rivadavia / ID-111,,S/D,RADAR / Comodoro Rivadavia / ID-111,RSMA INVAP
333,RSMA,5,2026-01-12 18:41:05.922,OK,RSMA INVAP,,CBA,1,"11",CÓRDOBA,CBA,Radar,RADAR / Córdoba / ID-112,,S/D,RADAR / Córdoba / ID-112,RSMA INVAP
334,RSMA,70,2026-01-12 18:41:06.218,OK,RSMA INVAP,,SIS,5,"12",CORRIENTES,CRR,Radar,AERÓDROMO / Resistencia / ID-34,,S/D,AERÓDROMO / Resistencia / ID-34,RSMA INVAP
335,RSMA,24,2026-01-12 18:41:06.444,OK,RSMA INVAP,,CRV,2,"13",ESQUEL,ESQ,Radar,RADAR / Esquel / ID-114,,S/D,RADAR / Esquel / ID-114,RSMA INVAP
336,IRS20 MP/L,49,2026-01-12 18:41:06.661,OK,INDRA [VIEJO],,EZE,4,"14",EZEIZA,EZE,Radar,RADAR / Ezeiza / ID-115,,S/D,RADAR / Ezeiza / ID-115,INDRA [VIEJO]
337,RSMA,8,2026-01-12 18:41:06.878,OK,RSMA INVAP,,CBA,1,"15",LA RIOJA,LAR,Radar,RADAR / La Rioja / ID-116,,S/D,RADAR / La Rioja / ID-116,RSMA INVAP
338,RSMA,34,2026-01-12 18:41:07.113,OK,RSMA INVAP,,DOZ,3,"16",MALARGUE,MLG,Radar,RADAR / Malargüe / ID-118,,S/D,RADAR / Malargüe / ID-118,RSMA INVAP
339,ATCR 33 M/SIR M,35,2026-01-12 18:41:07.345,OK,ALENIA,,DOZ,3,"17",MENDOZA,DOZ,Radar,RADAR / Mendoza / ID-119,,S/D,RADAR / Mendoza / ID-119,ALENIA
340,RSMA,12,2026-01-12 18:41:07.561,OK,RSMA INVAP,,CBA,1,"18",MORTEROS,MTR,Radar,RADAR / Morteros / ID-121,,S/D,RADAR / Morteros / ID-121,RSMA INVAP
341,RSMA,59,2026-01-12 18:41:07.771,OK,RSMA INVAP,,EZE,4,"19",NEUQUEN,NEU,Radar,RADAR / Neuquén / ID-122,,S/D,RADAR / Neuquén / ID-122,RSMA INVAP
342,RSMA,61,2026-01-12 18:41:07.991,OK,RSMA INVAP,,EZE,4,"20",PARANÁ,PAR,Radar,RADAR / Parana / ID-123,,S/D,RADAR / Parana / ID-123,RSMA INVAP
343,RSMA,62,2026-01-12 18:41:08.527,OK,RSMA INVAP,,EZE,4,"21",PEHUAJO,PEH,Radar,RADAR / Pehuajó / ID-124,,S/D,RADAR / Pehuajó / ID-124,RSMA INVAP
344,RSMA,76,2026-01-12 18:41:08.752,OK,RSMA INVAP,,SIS,5,"22",POSADAS,POS,Radar,RADAR / Posadas / ID-125,,S/D,RADAR / Posadas / ID-125,RSMA INVAP
345,RSMA,26,2026-01-12 18:41:08.975,OK,RSMA INVAP,,CRV,2,"23",PUERTO MADRYN,DRY,Radar,RADAR / Puerto Madryn / ID-126,,S/D,RADAR / Puerto Madryn / ID-126,RSMA INVAP
346,RSMA,,2026-01-12 18:41:09.185,OK,RSMA INVAP,,EZE,4,"24",QUILMES,ILM,Radar,RADAR / Quilmes / ID-127,,S/D,RADAR / Quilmes / ID-127,RSMA INVAP
347,RSMA,28,2026-01-12 18:41:09.405,OK,RSMA INVAP,,CRV,2,"25",RIO GALLEGOS,GAL,Radar,RADAR / Río Gallegos / ID-128,,S/D,RADAR / Río Gallegos / ID-128,RSMA INVAP
348,RSMA,79,2026-01-12 18:41:09.629,OK,RSMA INVAP,,SIS,5,"26",ROQUE SAEZ PEÑA,PSP,Radar,RADAR / Presidencia Roque Saenz Peña / ID-129,,S/D,RADAR / Presidencia Roque Saenz Peña / ID-129,RSMA INVAP
349,RSMA,14,2026-01-12 18:41:09.840,OK,RSMA INVAP,,CBA,1,"27",SALTA,SAL,Radar,RADAR / Salta / ID-130,,S/D,RADAR / Salta / ID-130,RSMA INVAP
350,RSMA,30,2026-01-12 18:41:10.054,OK,RSMA INVAP,,CRV,2,"28",SAN JULIAN,SJU,Radar,RADAR / San Julián / ID-131,,S/D,RADAR / San Julián / ID-131,RSMA INVAP
351,RSMA,39,2026-01-12 18:41:10.279,OK,RSMA INVAP,,DOZ,3,"29",SAN LUIS,UIS,Radar,RADAR / San Luis / ID-132,,S/D,RADAR / San Luis / ID-132,RSMA INVAP
352,RSMA,67,2026-01-12 18:41:10.507,OK,RSMA INVAP,,EZE,4,"30",SANTA ROSA,OSA,Radar,RADAR / Santa Rosa / ID-133,,S/D,RADAR / Santa Rosa / ID-133,RSMA INVAP
353,RSMA,21,2026-01-12 18:41:10.729,OK,RSMA INVAP,,CBA,1,"31",TUCUMAN,TUC,Radar,RADAR / Tucumán / ID-134,,S/D,RADAR / Tucumán / ID-134,RSMA INVAP
354,RSMA,32,2026-01-12 18:41:11.030,OK,RSMA INVAP,,CRV,2,"32",USHUAIA,USH,Radar,RADAR / Ushuaia / ID-135,,S/D,RADAR / Ushuaia / ID-135,RSMA INVAP
355,Sistema AIRCON 2100,35,2026-01-12 18:41:11.244,OK,Sistema Automatizado,Indra,DOZ,3,"33",MENDOZA,DOZ,Sistema automatizado,AERÓDROMO / Mendoza / ID-24,,Indra,AERÓDROMO / Mendoza / ID-24,Sistema Automatizado
356,Sistema AIRCON 2100,78,2026-01-12 18:41:11.551,OK,Sistema Automatizado,Indra,SIS,5,"34",RESISTENCIA,SIS,Sistema automatizado,AERÓDROMO / Resistencia / ID-34,,Indra,AERÓDROMO / Resistencia / ID-34,Sistema Automatizado
357,Sistema AIRCON 2100,5,2026-01-12 18:41:11.848,OK,Sistema Automatizado,Indra,CBA,1,"35",CÓRDOBA,CBA,Sistema automatizado,AERÓDROMO / Córdoba / ID-7,,Indra,AERÓDROMO / Córdoba / ID-7,Sistema Automatizado
358,Movil,,2026-01-12 18:41:12.176,OK,INVAP,,EZE,4,"36",MAMBORETÁ,MBT,Radar,AERÓDROMO / Ezeiza / ID-12,,S/D,AERÓDROMO / Ezeiza / ID-12,INVAP
359,IRS20 MP/S,49,2026-01-12 18:41:12.486,OK,INDRA [NUEVO],,EZE,4,"38",EZEIZA,EZE,Radar,RADAR / Ezeiza / ID-115,,S/D,RADAR / Ezeiza / ID-115,INDRA [NUEVO]
